created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2025-04-03T10:54:43+00:00,1,0.00,,,,,
2025-04-03T10:55:03+00:00,2,0.00,,,,,
2025-04-03T10:55:24+00:00,3,44.56,,,,,
2025-04-03T10:55:44+00:00,4,48.13,,,,,
2025-04-03T10:56:05+00:00,5,52.33,,,,,
2025-04-03T10:56:26+00:00,6,0.00,,,,,
2025-04-03T10:56:47+00:00,7,0.00,,,,,
2025-04-03T10:57:08+00:00,8,50.39,,,,,
2025-04-03T10:57:29+00:00,9,51.36,,,,,
2025-08-08T05:59:14+00:00,10,0.00,,,,,
2025-08-08T05:59:35+00:00,11,0.00,,,,,
2025-08-08T06:00:04+00:00,12,0.00,,,,,
2025-08-08T06:00:32+00:00,13,0.00,,,,,
2025-08-08T06:00:52+00:00,14,58.42,,,,,
2025-08-08T06:01:13+00:00,15,54.90,,,,,
2025-08-08T06:01:33+00:00,16,55.54,,,,,
2025-08-08T06:02:41+00:00,17,0.00,,,,,
2025-08-08T06:03:02+00:00,18,222.34,,,,,
2025-08-08T06:03:22+00:00,19,224.02,,,,,
2025-08-08T06:03:44+00:00,20,217.86,,,,,
2025-08-08T06:04:04+00:00,21,61.93,,,,,
2025-08-08T06:04:44+00:00,22,0.00,,,,,
2025-08-08T06:05:14+00:00,23,0.00,,,,,
2025-08-08T06:05:35+00:00,24,174.11,,,,,
2025-08-08T06:05:55+00:00,25,176.67,,,,,
2025-08-08T06:06:16+00:00,26,176.39,,,,,
2025-08-08T06:06:36+00:00,27,139.77,,,,,
2025-08-08T06:06:57+00:00,28,91.29,,,,,
2025-08-08T06:07:18+00:00,29,63.51,,,,,
2025-08-08T06:07:38+00:00,30,58.42,,,,,
2025-08-08T06:14:22+00:00,31,0.00,,,,,
2025-08-08T06:14:41+00:00,32,0.00,,,,,
2025-08-08T06:15:01+00:00,33,0.00,,,,,
2025-08-08T06:15:21+00:00,34,199.04,,,,,
2025-08-08T06:15:42+00:00,35,201.01,,,,,
2025-08-08T06:16:03+00:00,36,78.61,,,,,
2025-08-08T06:16:23+00:00,37,70.78,,,,,
2025-08-08T06:16:44+00:00,38,69.52,,,,,
2025-08-08T06:17:04+00:00,39,68.58,,,,,
2025-08-08T06:17:36+00:00,40,0.00,,,,,
2025-08-08T06:18:01+00:00,41,0.00,,,,,
2025-08-08T06:18:21+00:00,42,217.58,,,,,
2025-08-08T06:18:42+00:00,43,217.30,,,,,
2025-08-08T06:19:10+00:00,44,0.00,,,,,
2025-08-08T06:19:30+00:00,45,0.00,,,,,
2025-08-08T06:19:51+00:00,46,0.00,,,,,
2025-08-08T06:20:20+00:00,47,0.00,,,,,
2025-08-08T06:20:41+00:00,48,0.00,,,,,
2025-08-08T06:21:01+00:00,49,0.00,,,,,
2025-08-08T06:21:22+00:00,50,0.00,,,,,
2025-08-08T06:21:42+00:00,51,78.92,,,,,
2025-08-08T06:22:03+00:00,52,68.58,,,,,
2025-08-08T06:22:23+00:00,53,34.08,,,,,
2025-08-08T06:22:53+00:00,54,0.00,,,,,
2025-08-08T06:23:14+00:00,55,0.00,,,,,
2025-08-08T06:23:34+00:00,56,0.00,,,,,
2025-08-08T06:23:55+00:00,57,0.00,,,,,
